=====================================================================================gamma=0.01
2018-04-25 Wednesday 19:31:59  log.py : WARNING  ('unigram', 0, ('SVC-rbf', 0.767, 'pos:', 0.7679646728221597, 0.7652, 0.7665798437186936, 'neg:', 0.7660422479075328, 0.7688, 0.7674186464364144))
2018-04-25 Wednesday 20:13:26  log.py : WARNING  ('bigram', 0, ('SVC-rbf', 0.7307, 'pos:', 0.7179293406385793, 0.76, 0.7383658797240843, 'neg:', 0.7450605481198216, 0.7014, 0.7225713402699083))
2018-04-25 Wednesday 21:30:58  log.py : WARNING  ('uni_bigram', 0, ('SVC-rbf', 0.77565, 'pos:', 0.7902495524902601, 0.7505, 0.7698620300559059, 'neg:', 0.7624488241454822, 0.8008, 0.7811539774667121))
2018-04-25 Wednesday 19:20:07  log.py : WARNING  ('unigram_info', 1000, ('SVC-rbf', 0.75715, 'pos:', 0.7475214168832419, 0.7766, 0.761783314532346, 'neg:', 0.7675580064509416, 0.7377, 0.7523328744072205))
2018-04-25 Wednesday 19:38:31  log.py : WARNING  ('unigram_info', 2000, ('SVC-rbf', 0.76315, 'pos:', 0.7597985980847073, 0.7696, 0.764667892095981, 'neg:', 0.7665889980751697, 0.7567, 0.7616123999798703))
2018-04-25 Wednesday 19:58:07  log.py : WARNING  ('unigram_info', 3000, ('SVC-rbf', 0.76335, 'pos:', 0.7609234122659269, 0.768, 0.764445329219131, 'neg:', 0.7658221459574038, 0.7587, 0.762244436630331))
2018-04-25 Wednesday 20:19:12  log.py : WARNING  ('unigram_info', 4000, ('SVC-rbf', 0.7625, 'pos:', 0.7599524658348188, 0.7674, 0.7636580754303911, 'neg:', 0.7650979600080792, 0.7576, 0.7613305195457744))
2018-04-25 Wednesday 20:41:13  log.py : WARNING  ('unigram_info', 5000, ('SVC-rbf', 0.76685, 'pos:', 0.7620544043994893, 0.776, 0.7689639795867811, 'neg:', 0.7718243862687175, 0.7577, 0.7646969773426856))
2018-04-25 Wednesday 21:04:44  log.py : WARNING  ('unigram_info', 6000, ('SVC-rbf', 0.76155, 'pos:', 0.7558947265433911, 0.7726, 0.7641560753671925, 'neg:', 0.7674608855711218, 0.7505, 0.7588856868395774))
2018-04-25 Wednesday 21:29:45  log.py : WARNING  ('unigram_info', 7000, ('SVC-rbf', 0.7653, 'pos:', 0.7655124099279423, 0.7649, 0.7652060824329733, 'neg:', 0.765087929656275, 0.7657, 0.7653938424630148))
2018-04-25 Wednesday 21:49:28  log.py : WARNING  ('unigram_info', 8000, ('SVC-rbf', 0.762, 'pos:', 0.7575191665028504, 0.7707, 0.7640527411519779, 'neg:', 0.7666395277834317, 0.7533, 0.7599112276808232))
